2011,,,
Ramos,Indice,Severidad,Reclamaciones
Fidelidad,0.42%,33.92%,"$9,878,053.00"
Individuales,0.55%,0.42%,"$7,394,481.00"
Colectivo,0.35%,0.26%,"$3,518,132.00"
Judiciales,0.08%,0.05%,"$1,409,928.00"
Penales,0.54%,0.25%,"$1,216,847.00"
No Penales,0.06%,0.03%,"$838,711.00"
Que amparen a los conductores de behículos automotores,-,-, - 
Administrativas,0.13%,0.10%,"$128,484,228.00"
De Obra,0.12%,0.07%,"$72,088,175.00"
De proveeduria,0.33%,0.16%,"$105,388,044.00"
Fiscales,0.05%,0.02%,"$1,726,095.00"
De arrendamiento,0.74%,0.33%,"$2,385,338.00"
Otras Fianzas Administrativas,0.46%,0.07%,"$10,468,737.00"
Crédito,0.83%,0.31%,"$8,715,724.00"
De suministro,0.85%,0.32%,"$8,352,133.00"
De compraventa,-,-, - 
Financieras,-,-, - 
Otras Fianzas de Credito,-,-, - 
