2013,,,
Ramos,Indice,Severidad,Reclamaciones
Fidelidad,0.53%,0.41%,"$15,028,369.00"
Individuales,0.80%,0.56%,"$12,904,878.00"
Colectivo,0.36%,0.23%,"$4,344,351.00"
Judiciales,0.06%,0.04%,"$930,758.00"
Penales,0.33%,0.21%,"$1,238,915.00"
No Penales,0.03%,0.02%,"$277,253.00"
Que amparen a los conductores de behículos automotores,0.01%,0.00%, - 
Administrativas,0.11%,0.05%,"$129,786,028.00"
De Obra,0.17%,0.07%,"$116,000,271.00"
De proveeduria,0.04%,0.02%,"$16,884,932.00"
Fiscales,0.05%,0.03%,"$2,050,183.00"
De arrendamiento,0.03%,0.02%,"$145,345.00"
Otras Fianzas Administrativas,0.04%,0.02%,"$885,534.00"
Crédito,0.41%,0.15%,"$7,722,069.00"
De suministro,0.43%,0.16%,"$7,599,613.00"
De compraventa,0.16%,0.04%,"$206,432.00"
Financieras,-,-, - 
Otras Fianzas de Credito,-,-, - 
